Vehicle Number,Vehicle Type,Number of Drivers,Mobitel Staff,Salary,Total salary
HI-9353,24 hrs 4WD D/CAB,2,,90000,2160000
HI-9355,4WD D/CAB,1,,90000,1080000
PD-9893,24 hrs 4WD D/CAB,2,,90000,2160000
PD-9894,24 hrs 4WD D/CAB,2,,90000,2160000
PD-9895,4WD D/CAB,1,,90000,1080000
PD-9896,24 hrs 4WD D/CAB,2,,90000,2160000
PD-9899,24 hrs 4WD D/CAB,2,,90000,2160000
PD-9901,24 hrs 4WD D/CAB,2,,90000,2160000
PD-9902,4WD D/CAB,1,,90000,1080000
PD-9903,24 hrs 4WD D/CAB,2,,90000,2160000
PD-9904,24 hrs 4WD D/CAB,2,,90000,2160000
PF-4362,24 hrs 4WD D/CAB,2,,90000,2160000
PF-4364,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5698,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5699,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5700,4WD D/CAB,1,,90000,1080000
PF-5702,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5703,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5704,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5705,24 hrs 4WD D/CAB,2,,90000,2160000
PF-5706,24 hrs 4WD D/CAB,2,,90000,2160000
PI-2756,24 hrs 4WD D/CAB,2,,90000,2160000
PI-2758,24 hrs 4WD D/CAB,2,,90000,2160000
PI-2759,24 hrs 4WD D/CAB,2,,90000,2160000
LN-3659,CREW CAB,1,,90000,450000
NA-9344,KDH VAN,1,,90000,1080000
NA-9345,KDH VAN,1,,90000,900000
NA-9346,KDH VAN,1,,90000,900000
NA-9347,KDH VAN,1,,90000,900000
NB-6152,KDH VAN,1,,90000,1080000
NB-6153,24 hrs KDH VAN,2,,90000,2160000
ND-1022,KDH VAN,1,,90000,1080000
ND-1023,KDH VAN,1,,90000,1080000
ND-1024,KDH VAN,1,,90000,900000
ND-1026,KDH VAN,1,,90000,1080000
ND-1090,KDH VAN,1,,90000,1080000
ND-1289,KDH VAN,1,,90000,1080000
ND-1290,KDH VAN,1,,90000,360000
ND-1618,KDH VAN,1,,90000,1080000
BFD-2154,Motorcycle,,,90000,0
BFD-2166,Motorcycle,,,90000,0
BFD-2177,Motorcycle,,,90000,0
BFD-2190,Motorcycle,,,90000,0
BFD-2194,Motorcycle,,,90000,0
BFD-2258,Motorcycle,,,90000,0
BFD-2274,Motorcycle,,,90000,0
BFD-2292,Motorcycle,,,90000,0
BFD-2302,Motorcycle,,,90000,0
BFD-2320,Motorcycle,,,90000,0
BHI-8224,Motorcycle,,,90000,0
KY-7354,PRIUS CAR,1,,90000,1080000
KY-7361,PRIUS CAR,1,,90000,450000
PF-4363,Self,,,,
PF-5697,Self,,,,
PI-2755,Self,,,,
