Supplier,start date,Location,Working days,Division,Vehicle Number,Vehicel Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage , Excess milage Rate -02 , Excess Amout - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent Days ,Days (1),Days (2), Late Attendence-1 , Late Attendence-2 , Tempory hired vehicel charges , Fuel Pumped Amount , No pay rate=1 , No pay rate=2 , No pay Amount , Late Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,2025-01-01,Jaffna,31,Sites Acquisition,251-2648,Passenger Van,"194,875.00","194,875.00","89,411.32","2,780.00",67, -   ,280,70.75,"19,810.00","6,030.00", -   ,"220,715.00","39,728.70","260,443.70", -   , -   ,, -   , -   , -   ,"89,411.32","6,286.29","6,286.29", -   , -   ,"-89,411.32","-16,094.04","-105,505.36","131,303.68","23,634.66","154,938.34"
Prime,2025-01-01,Panadura,31,BTS Operation,59-8951,Passenger Van,"194,875.00","194,875.00","79,346.98","2,140.00",36.5, -   , -   ,70.75, -   ,"3,285.00", -   ,"198,160.00","35,668.80","233,828.80", -   , -   ,, -   , -   , -   ,"79,346.98","6,286.29","6,286.29", -   , -   ,"-79,346.98","-14,282.46","-93,629.44","118,813.02","21,386.34","140,199.36"
Prime,2025-01-01,Welikada,31,Pool,CAD-0669,Van Field Use,"140,216.66","140,216.66","35,966.06","3,107.00",27, -   ,607,55.36,"33,603.52","2,430.00", -   ,"176,250.18","31,725.03","207,975.21",1,1,,3,3,"3,629.00","35,966.06","4,523.12","4,523.12","4,523.12","2,580.00","-46,698.18","-8,405.67","-55,103.85","129,552.00","23,319.36","152,871.36"
Prime,2025-01-01,Kurunegala,31,Sites Acquisition,CAD-7553,Van Field Use,"140,216.66","140,216.66","81,962.06","3,596.00",24.5, -   ,"1,096.00",55.36,"60,674.56","2,205.00", -   ,"203,096.22","36,557.32","239,653.54", -   , -   ,, -   , -   , -   ,"81,962.06","4,523.12","4,523.12", -   , -   ,"-81,962.06","-14,753.17","-96,715.23","121,134.16","21,804.15","142,938.31"
Prime,2025-01-01,Welikada,31,RND,CAF-7552,Van Field Use,"140,216.66","140,216.66","85,742.87","2,675.00",30, -   ,175,55.36,"9,688.00","2,700.00", -   ,"152,604.66","27,468.84","180,073.50", -   , -   ,,3, -   , -   ,"85,742.87","4,523.12","4,523.12", -   ,"1,080.00","-86,822.87","-15,628.12","-102,450.99","65,781.79","11,840.72","77,622.51"
Prime,2025-01-01,Kandy,31,BTS Operation,CAH-0556,Van Field Use,"140,216.66","140,216.66","44,568.62","3,003.00",83, -   ,503,55.36,"27,846.08","7,470.00", -   ,"175,532.74","31,595.89","207,128.63", -   , -   ,, -   , -   , -   ,"44,568.62","4,523.12","4,523.12", -   , -   ,"-44,568.62","-8,022.35","-52,590.97","130,964.12","23,573.54","154,537.66"
Prime,2025-01-01,Badulla,31,RND,CAI-5961,Van Field Use,"140,216.66","140,216.66","40,868.34","2,199.00",38, -   , -   ,55.36, -   ,"3,420.00", -   ,"143,636.66","25,854.60","169,491.26", -   , -   ,, -   , -   , -   ,"40,868.34","4,523.12","4,523.12", -   , -   ,"-40,868.34","-7,356.30","-48,224.64","102,768.32","18,498.30","121,266.62"
Prime,2025-01-01,Welikada,31,Transmission Operations,CAK-4723,Self-Driven cars,"86,400.00","86,400.00", -   ,"1,950.00", -   , -   , -   ,28.8, -   , -   , -   ,"86,400.00","15,552.00","101,952.00", -   , -   ,, -   , -   , -   , -   ,"2,787.10","2,787.10", -   , -   , -   , -   , -   ,"86,400.00","15,552.00","101,952.00"
Prime,2025-01-01,Welikada,31,RND,CAK-9887,Van Field Use,"140,216.66","140,216.66","62,003.22","3,300.00",63.5,1,800,55.36,"44,288.00","5,715.00",500,"190,719.66","34,329.54","225,049.20", -   , -   ,, -   , -   , -   ,"62,003.22","4,523.12","4,523.12", -   , -   ,"-62,003.22","-11,160.58","-73,163.80","128,716.44","23,168.96","151,885.40"
Prime,2025-01-01,Welikada,4,Pool,CAL-5177,Van Field Use,"140,216.66","18,092.47", -   ,557,13, -   ,234,55.36,"12,954.24","1,170.00", -   ,"32,216.71","5,799.01","38,015.72", -   , -   ,,1, -   , -   , -   ,"4,523.12","4,523.12", -   ,360,-360,-64.8,-424.8,"31,856.71","5,734.21","37,590.92"
Prime,2025-01-01,Panadura,31,Pool,CAM-7753,Van Field Use,"140,216.66","140,216.66","85,833.09","2,313.00",47.5, -   , -   ,55.36, -   ,"4,275.00", -   ,"144,491.66","26,008.50","170,500.16", -   , -   ,, -   , -   , -   ,"85,833.09","4,523.12","4,523.12", -   , -   ,"-85,833.09","-15,449.96","-101,283.05","58,658.57","10,558.54","69,217.11"
Prime,2025-01-01,Katunayaka,31,Projects,CAN-3782,Van Field Use,"140,216.66","140,216.66","78,795.00","2,390.00",35.5, -   , -   ,55.36, -   ,"3,195.00", -   ,"143,411.66","25,814.10","169,225.76", -   , -   ,, -   , -   , -   ,"78,795.00","4,523.12","4,523.12", -   , -   ,"-78,795.00","-14,183.10","-92,978.10","64,616.66","11,631.00","76,247.66"
Prime,2025-01-01,Welikada,31,Pool,CAN-9699,Van Field Use,"140,216.66","140,216.66", -   ,"2,087.00",56.5, -   , -   ,55.36, -   ,"5,085.00", -   ,"145,301.66","26,154.30","171,455.96",2,2,,1,3, -   , -   ,"4,523.12","4,523.12","9,046.24","1,860.00","-10,906.24","-1,963.12","-12,869.36","134,395.42","24,191.18","158,586.60"
Prime,2025-01-01,Matara,31,Civil,CAO-2620,Van Field Use,"140,216.66","140,216.66","56,103.29","2,539.00",40.5, -   ,39,55.36,"2,159.04","3,645.00", -   ,"146,020.70","26,283.73","172,304.43", -   , -   ,, -   , -   , -   ,"56,103.29","4,523.12","4,523.12", -   , -   ,"-56,103.29","-10,098.59","-66,201.88","89,917.41","16,185.13","106,102.54"
Prime,2025-01-01,Welikada,31,Transmission Operations,CAP-7454,Self-Driven cars,"86,400.00","86,400.00", -   ,"1,273.00", -   , -   , -   ,28.8, -   , -   , -   ,"86,400.00","15,552.00","101,952.00", -   , -   ,, -   , -   , -   , -   ,"2,787.10","2,787.10", -   , -   , -   , -   , -   ,"86,400.00","15,552.00","101,952.00"
Prime,2025-01-01,Welikada,31,Pool,CAS-6735,Van Field Use,"140,216.66","140,216.66", -   ,"3,227.00",56,5,727,55.36,"40,246.72","5,040.00","2,500.00","188,003.38","33,840.61","221,843.99",5,5,,1,2, -   , -   ,"4,523.12","4,523.12","22,615.59","1,360.00","-23,975.59","-4,315.61","-28,291.20","164,027.79","29,525.00","193,552.79"
Prime,2025-01-01,Welikada,31,Pool,CAS-9005,Van Field Use,"140,216.66","140,216.66","85,527.80","2,762.73",46.5, -   ,262.73,55.36,"14,544.73","4,185.00", -   ,"158,946.39","28,610.35","187,556.74",1,1,,8,5,"4,027.00","85,527.80","4,523.12","4,523.12","4,523.12","5,380.00","-99,457.92","-17,902.43","-117,360.34","59,488.47","10,707.93","70,196.40"
Prime,2025-01-01,Welikada,31,Transmission Operations,CAT-1657,Self-Driven cars,"86,400.00","86,400.00", -   ,"1,729.00", -   , -   , -   ,28.8, -   , -   , -   ,"86,400.00","15,552.00","101,952.00", -   , -   ,, -   , -   , -   , -   ,"2,787.10","2,787.10", -   , -   , -   , -   , -   ,"86,400.00","15,552.00","101,952.00"
Prime,2025-01-01,Welikada,31,RND,CAU-5830,Van Field Use,"140,216.66","140,216.66","98,558.64","2,818.00",61.5, -   ,318,55.36,"17,604.48","5,535.00", -   ,"163,356.14","29,404.11","192,760.25",1,1,,7,3, -   ,"98,558.64","4,523.12","4,523.12","4,523.12","4,020.00","-107,101.76","-19,278.32","-126,380.07","56,254.38","10,125.79","66,380.17"
Prime,2025-01-01,Panadura,31,Power,CAV-1171,Van Field Use,"140,216.66","140,216.66","72,582.86","2,553.00",60, -   ,53,55.36,"2,934.08","5,400.00", -   ,"148,550.74","26,739.13","175,289.87", -   , -   ,, -   , -   , -   ,"72,582.86","4,523.12","4,523.12", -   , -   ,"-72,582.86","-13,064.91","-85,647.77","75,967.88","13,674.22","89,642.10"
Prime,2025-01-01,Welikada,5,RND,CAV-2913,Van Field Use,"140,216.66","22,615.59", -   ,384,9.5, -   ,,55.36, -   ,855, -   ,"23,470.59","4,224.71","27,695.30", -   , -   ,, -   , -   , -   , -   ,"4,523.12","4,523.12", -   , -   , -   , -   , -   ,"23,470.59","4,224.71","27,695.30"
Prime,2025-01-01,Matara,31,Sites Acquisition,CAW-8684,Van Field Use,"140,216.66","140,216.66","43,263.00","2,884.00",45.5, -   ,384,55.36,"21,258.24","4,095.00", -   ,"165,569.90","29,802.58","195,372.48", -   , -   ,, -   , -   , -   ,"43,263.00","4,523.12","4,523.12", -   , -   ,"-43,263.00","-7,787.34","-51,050.34","122,306.90","22,015.24","144,322.14"
