Supplier,Location,Working days,Division,YOM,Applied rate Card,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,31.00,BTS Operation,2007,Rate Card 02,PB-5378,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 4,013.00 ", 201.00 , -   ," 1,513.00 ", 80.17 ," 121,297.21 "," 18,614.61 ", -   ," 367,078.49 "," 66,074.13 "," 433,152.62 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 367,078.49 "," 66,074.13 "," 433,152.62 "
Prime,Ampara,31.00,Power,2001,Rate Card 02,PC-4191,Passenger Van," 180,166.67 "," 180,166.67 "," 4,558.00 ", 107.50 , -   ," 2,058.00 ", 72.17 ," 148,525.86 "," 9,651.35 ", -   ," 338,343.88 "," 60,901.90 "," 399,245.78 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 338,343.88 "," 60,901.90 "," 399,245.78 "
Prime,Ampara,31.00,Sites Acquisition,2009,Rate Card 02,CAU-6726,Passenger Car," 138,250.00 "," 138,250.00 "," 3,879.00 ", 85.50 , -   ," 1,379.00 ", 52.90 ," 72,949.10 "," 7,951.50 ", -   ," 219,150.60 "," 39,447.11 "," 258,597.71 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 219,150.60 "," 39,447.11 "," 258,597.71 "
Prime,A'pura,31.00,BTS Operation,2006,Rate Card 02,PD-0518,24 hrs Passenger Van," 236,866.67 "," 236,866.67 "," 4,837.00 ",, -   ," 2,337.00 ", 72.17 ," 168,661.29 ", -   , -   ," 405,527.96 "," 72,995.03 "," 478,522.99 ", -   , -   , -   ," 7,640.86 ",, -   , -   , -   ," 405,527.96 "," 72,995.03 "," 478,522.99 "
Prime,A'pura,31.00,Projects,2009,Rate Card 02,CBJ-5825,Passenger Car," 138,250.00 "," 138,250.00 "," 3,200.00 ", 57.00 , -   , 700.00 , 52.90 ," 37,030.00 "," 5,301.00 ", -   ," 180,581.00 "," 32,504.58 "," 213,085.58 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 180,581.00 "," 32,504.58 "," 213,085.58 "
Prime,A'pura,31.00,Civil,2012,Rate Card 02,JG-8504,Passenger Car," 138,250.00 "," 138,250.00 "," 2,806.00 ", 49.50 , -   , 306.00 , 52.90 ," 16,187.40 "," 4,603.50 ", -   ," 159,040.90 "," 28,627.36 "," 187,668.26 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 159,040.90 "," 28,627.36 "," 187,668.26 "
Prime,A'pura,31.00,Sites Acquisition,2018,Rate Card 02,CBI-5082,Passenger Car," 138,250.00 "," 138,250.00 "," 2,488.00 ", 38.50 , -   ,, 52.90 , -   ," 3,580.50 ", -   ," 141,830.50 "," 25,529.49 "," 167,359.99 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 141,830.50 "," 25,529.49 "," 167,359.99 "
Prime,A'pura,31.00,BTS Operation,2007,Rate Card 02,PC-7852,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,081.00 ", 58.50 , -   , 581.00 , 80.17 ," 46,578.77 "," 5,417.69 ", -   ," 279,163.13 "," 50,249.36 "," 329,412.49 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 279,163.13 "," 50,249.36 "," 329,412.49 "
Prime,A'pura,31.00,Power,2006,Rate Card 02,PG-0415,Passenger Van," 180,166.67 "," 180,166.67 "," 2,514.00 ", 54.00 , -   , 14.00 , 72.17 ," 1,010.38 "," 4,848.12 ", -   ," 186,025.17 "," 33,484.53 "," 219,509.70 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 186,025.17 "," 33,484.53 "," 219,509.70 "
Prime,A'pura,31.00,BTS Operation,2009,Rate Card 02,PF-1928,Passenger Van," 180,166.67 "," 180,166.67 "," 3,180.00 ", 59.50 , -   , 680.00 , 72.17 ," 49,075.60 "," 5,341.91 ", -   ," 234,584.18 "," 42,225.15 "," 276,809.33 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 234,584.18 "," 42,225.15 "," 276,809.33 "
Prime,Badulla,31.00,RND,2010,Rate Card 02,PD-2507,Passenger Van," 180,166.67 "," 180,166.67 "," 2,095.00 ", 48.00 , -   ,, 72.17 , -   ," 4,309.44 ", -   ," 184,476.11 "," 33,205.70 "," 217,681.81 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 184,476.11 "," 33,205.70 "," 217,681.81 "
Prime,Batticalo,31.00,RND,2016,Rate Card 02,PI-1637,Van Field Use," 123,911.11 "," 123,911.11 "," 2,089.00 ", 82.00 , -   ,, 54.44 , -   ," 7,594.02 ", -   ," 131,505.13 "," 23,670.92 "," 155,176.05 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 131,505.13 "," 23,670.92 "," 155,176.05 "
Prime,Chilaw,31.00,BTS Operation,2009,Rate Card 02,PE-3785,Passenger Van," 180,166.67 "," 180,166.67 "," 4,667.00 ", 161.00 , -   ," 2,167.00 ", 72.17 ," 156,392.39 "," 14,454.58 ", -   ," 351,013.64 "," 63,182.46 "," 414,196.10 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 351,013.64 "," 63,182.46 "," 414,196.10 "
Prime,Colombo,31.00,BTS Operation,2013,Rate Card 02,PF-3955,Self-Driven 4 X 4 Double cab," 137,025.00 "," 137,025.00 "," 1,706.00 ", -   , -   , 206.00 , 51.45 ," 10,598.70 ", -   , -   ," 147,623.70 "," 26,572.27 "," 174,195.97 ", -   , -   , -   ," 4,420.16 ",, -   , -   , -   ," 147,623.70 "," 26,572.27 "," 174,195.97 "
Prime,Galle,31.00,BTS Operation,2008,Rate Card 02,PD-8263,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,343.00 ", 142.50 , -   , 843.00 , 80.17 ," 67,583.31 "," 13,196.93 ", -   ," 307,946.91 "," 55,430.44 "," 363,377.35 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 307,946.91 "," 55,430.44 "," 363,377.35 "
Prime,Galle,31.00,Projects,2017,Rate Card 02,CBA-9724,Passenger Car," 138,250.00 "," 138,250.00 "," 3,271.00 ", 125.00 , -   , 771.00 , 52.90 ," 40,785.90 "," 11,625.00 ", -   ," 190,660.90 "," 34,318.96 "," 224,979.86 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 190,660.90 "," 34,318.96 "," 224,979.86 "
Prime,Galle,31.00,RND,2014,Rate Card 02,CAO-5836,Passenger Car," 138,250.00 "," 138,250.00 "," 2,518.00 ", 48.00 , -   , 18.00 , 52.90 , 952.20 ," 4,464.00 ", -   ," 143,666.20 "," 25,859.92 "," 169,526.12 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 143,666.20 "," 25,859.92 "," 169,526.12 "
Prime,Homagama,30.00,BTS Operation,2012,Rate Card 02,CBF-3501,Passenger Car," 121,350.00 "," 117,435.48 "," 1,611.00 ", 12.00 , -   , 111.00 , 52.90 ," 5,871.90 "," 1,116.00 ", -   ," 124,423.38 "," 22,396.21 "," 146,819.59 ", 1.00 , -   ," 2,000.00 "," 3,914.52 ",," (2,000.00)", (360.00)," (2,360.00)"," 122,423.38 "," 22,036.21 "," 144,459.59 "
Shakya,Jaffna,31.00,BTS Operation,2003,Rate Card 01,HJ-1100,Passenger Van," 168,580.00 "," 168,580.00 "," 3,836.00 ", 138.00 , -   ," 1,336.00 ", 64.00 ," 85,504.00 "," 12,389.64 ", -   ," 266,473.64 "," 47,965.26 "," 314,438.90 ", -   , -   , -   ," 5,438.06 ",, -   , -   , -   ," 266,473.64 "," 47,965.26 "," 314,438.90 "
Shakya,Jaffna,31.00,Sites Acquisition,2003,Rate Card 01,PB-6807,Passenger Van," 168,580.00 "," 168,580.00 "," 2,414.00 ", 62.50 , -   ,, 64.00 , -   ," 5,611.25 ", -   ," 174,191.25 "," 31,354.43 "," 205,545.68 ", -   , -   , -   ," 5,438.06 ",, -   , -   , -   ," 174,191.25 "," 31,354.43 "," 205,545.68 "
Prime,kadawatha,31.00,BTS Operation,2000,Rate Card 02,PA-2478,Passenger Van," 154,500.00 "," 154,500.00 "," 1,189.00 ", 13.50 , -   ,, 72.17 , -   ," 1,212.03 ", -   ," 155,712.03 "," 28,028.17 "," 183,740.20 ", -   , -   , -   ," 4,983.87 ",, -   , -   , -   ," 155,712.03 "," 28,028.17 "," 183,740.20 "
CS Tours,kadawatha,31.00,BTS Operation,2018,Rate Card 01,PF-9818,Self-Driven 4 X 4 Double cab," 137,025.00 "," 137,025.00 "," 1,519.00 ", -   , -   , 19.00 , 51.45 , 977.55 , -   , -   ," 138,002.55 "," 24,840.46 "," 162,843.01 ", -   , -   , -   ," 4,420.16 ",, -   , -   , -   ," 138,002.55 "," 24,840.46 "," 162,843.01 "
Prime,Kandy,31.00,BTS Operation,2014,Rate Card 02,CAH-0556,Passenger Car," 138,250.00 "," 138,250.00 "," 5,477.00 ", 228.00 , -   ," 2,977.00 ", 52.90 ," 157,483.30 "," 21,204.00 ", -   ," 316,937.30 "," 57,048.71 "," 373,986.01 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 316,937.30 "," 57,048.71 "," 373,986.01 "
Prime,Kandy,31.00,BTS Operation,2006,Rate Card 02,PC-4249,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 2,535.75 ", 65.50 , -   , 35.75 , 80.17 ," 2,866.08 "," 6,065.96 ", -   ," 236,098.70 "," 42,497.77 "," 278,596.47 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 236,098.70 "," 42,497.77 "," 278,596.47 "
Prime,Kandy,31.00,Sites Acquisition,2016,Rate Card 02,CAC-5437,Van Field Use," 104,020.00 "," 104,020.00 "," 1,614.00 ", 30.50 , -   , 114.00 , 54.44 ," 6,206.16 "," 2,824.61 ", -   ," 113,050.77 "," 20,349.14 "," 133,399.90 ", -   , -   , -   ," 3,355.48 ",, -   , -   , -   ," 113,050.77 "," 20,349.14 "," 133,399.90 "
Prime,Kandy,31.00,RND,2000,Rate Card 02,PI-3731,Van Field Use," 123,911.11 "," 123,911.11 "," 2,110.00 ", 46.50 , -   ,, 54.44 , -   ," 4,306.37 ", -   ," 128,217.48 "," 23,079.15 "," 151,296.62 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 128,217.48 "," 23,079.15 "," 151,296.62 "
Prime,Kandy,31.00,Power,2007,Rate Card 02,PF-0288,Passenger Van," 180,166.67 "," 180,166.67 "," 2,287.00 ", 65.50 , -   ,, 72.17 , -   ," 5,880.59 ", -   ," 186,047.26 "," 33,488.51 "," 219,535.77 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 186,047.26 "," 33,488.51 "," 219,535.77 "
Prime,Katunayaka,30.00,Projects,2007,Rate Card 02,CAN-3782,Passenger Car," 138,250.00 "," 133,790.32 "," 1,950.00 ", 25.50 , -   ,, 52.90 , -   ," 2,371.50 ", -   ," 136,161.82 "," 24,509.13 "," 160,670.95 ", 1.00 , -   ," 2,000.00 "," 4,459.68 ",," (2,000.00)", (360.00)," (2,360.00)"," 134,161.82 "," 24,149.13 "," 158,310.95 "
Prime,Katunayaka,26.00,BTS Operation,2007,Rate Card 02,PD-1734,4 X 4 Double cab," 227,166.67 "," 190,526.88 "," 2,367.03 ", 77.00 , -   ,, 80.17 , -   ," 7,130.97 ", -   ," 197,657.85 "," 35,578.41 "," 233,236.27 ", 5.00 , -   ," 10,000.00 "," 7,327.96 ",," (10,000.00)"," (1,800.00)"," (11,800.00)"," 187,657.85 "," 33,778.41 "," 221,436.27 "
Prime,Katunayaka,31.00,BTS Operation,2008,Rate Card 02,PC-8556,Self-Driven 4 X 4 Double cab," 137,025.00 "," 137,025.00 "," 1,291.22 ", -   , -   ,, 51.45 , -   , -   , -   ," 137,025.00 "," 24,664.50 "," 161,689.50 ", -   , -   , -   ," 4,420.16 ",, -   , -   , -   ," 137,025.00 "," 24,664.50 "," 161,689.50 "
CS Tours,Kurunegala,31.00,Civil,2010,Rate Card 01,PE-0852,Van Field Use," 123,911.11 "," 123,911.11 "," 2,536.00 ", 45.00 , -   , 36.00 , 54.44 ," 1,959.84 "," 4,167.45 ", -   ," 130,038.40 "," 23,406.91 "," 153,445.31 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 130,038.40 "," 23,406.91 "," 153,445.31 "
Prime,Kurunegala,31.00,Sites Acquisition,2015,Rate Card 02,CAN-4723,Passenger Car," 138,250.00 "," 138,250.00 "," 2,817.00 ", 32.00 , -   , 317.00 , 52.90 ," 16,769.30 "," 2,976.00 ", -   ," 157,995.30 "," 28,439.15 "," 186,434.45 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 157,995.30 "," 28,439.15 "," 186,434.45 "
Prime,Kurunegala,31.00,Sites Acquisition,2018,Rate Card 02,CAQ-0450,Van Field Use," 123,911.11 "," 123,911.11 "," 3,338.00 ", 77.50 , 4.00 , 838.00 , 54.44 ," 45,620.72 "," 7,177.28 "," 1,600.00 "," 178,309.11 "," 32,095.64 "," 210,404.74 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 178,309.11 "," 32,095.64 "," 210,404.74 "
CS Tours,Kurunegala,31.00,Projects,2006,Rate Card 01,PC-0040,Van Field Use," 123,911.11 "," 123,911.11 "," 2,040.00 ", 31.50 , -   ,, 54.44 , -   ," 2,917.22 ", -   ," 126,828.33 "," 22,829.10 "," 149,657.42 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 126,828.33 "," 22,829.10 "," 149,657.42 "
Prime,Kurunegala,31.00,BTS Operation,2008,Rate Card 02,PC-4962,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,989.00 ", 66.00 , -   ," 1,489.00 ", 80.17 ," 119,373.13 "," 6,112.26 ", -   ," 352,652.06 "," 63,477.37 "," 416,129.43 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 352,652.06 "," 63,477.37 "," 416,129.43 "
Prime,Kurunegala,31.00,RND,2007,Rate Card 02,PC-3390,Passenger Van," 180,166.67 "," 180,166.67 "," 2,758.00 ", 54.00 , -   , 258.00 , 72.17 ," 18,619.86 "," 4,848.12 ", -   ," 203,634.65 "," 36,654.24 "," 240,288.89 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 203,634.65 "," 36,654.24 "," 240,288.89 "
Prime,Matara,31.00,Civil,2015,Rate Card 02,CAO-2620,Passenger Car," 138,250.00 "," 138,250.00 "," 2,184.00 ", 47.50 , -   ,, 52.90 , -   ," 4,417.50 ", -   ," 142,667.50 "," 25,680.15 "," 168,347.65 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 142,667.50 "," 25,680.15 "," 168,347.65 "
Prime,Matara,31.00,Sites Acquisition,2017,Rate Card 02,CAW-8684,Passenger Car," 138,250.00 "," 138,250.00 "," 2,777.00 ", 31.00 , -   , 277.00 , 52.90 ," 14,653.30 "," 2,883.00 ", -   ," 155,786.30 "," 28,041.53 "," 183,827.83 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 155,786.30 "," 28,041.53 "," 183,827.83 "
Prime,Matara,4.00,BTS Operation,2007,Rate Card 02,PF-2260,4 X 4 Double cab," 187,666.67 "," 24,215.05 ", 335.81 , 18.00 , -   ,, 80.17 , -   ," 1,666.98 ", -   ," 25,882.03 "," 4,658.77 "," 30,540.80 ", -   , -   , -   ," 6,053.76 ",, -   , -   , -   ," 25,882.03 "," 4,658.77 "," 30,540.80 "
Prime,Matara,13.00,BTS Operation,2007,Rate Card 02,PG-4274,Passenger Van," 147,666.67 "," 61,924.73 ", 714.00 , 18.00 , -   ,, 72.17 , -   ," 1,616.04 ", -   ," 63,540.77 "," 11,437.34 "," 74,978.11 ", -   , -   , -   ," 4,763.44 ",, -   , -   , -   ," 63,540.77 "," 11,437.34 "," 74,978.11 "
Prime,Matara,31.00,BTS Operation,1999,Rate Card 02,JA-4926,Passenger Van," 134,500.00 "," 134,500.00 "," 3,487.00 ", 79.00 , -   , 987.00 , 64.00 ," 63,168.00 "," 7,092.62 ", -   ," 204,760.62 "," 36,856.91 "," 241,617.53 ", -   , -   , -   ," 4,338.71 ",, -   , -   , -   ," 204,760.62 "," 36,856.91 "," 241,617.53 "
Prime,Panadura,31.00,Sites Acquisition,2017,Rate Card 02,PK-5718,Van Field Use," 123,911.11 "," 123,911.11 "," 2,368.00 ", 66.00 , -   ,, 54.44 , -   ," 6,112.26 ", -   ," 130,023.37 "," 23,404.21 "," 153,427.58 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 130,023.37 "," 23,404.21 "," 153,427.58 "
Prime,Panadura,31.00,Power,2016,Rate Card 02,CAV-1171,Passenger Car," 138,250.00 "," 138,250.00 "," 2,454.00 ", 45.00 , -   ,, 52.90 , -   ," 4,185.00 ", -   ," 142,435.00 "," 25,638.30 "," 168,073.30 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 142,435.00 "," 25,638.30 "," 168,073.30 "
Prime,Panadura,31.00,BTS Operation,2016,Rate Card 02,CBD-3756,Passenger Car," 121,350.00 "," 121,350.00 "," 1,496.00 ", 34.00 , -   ,, 52.90 , -   ," 3,162.00 ", -   ," 124,512.00 "," 22,412.16 "," 146,924.16 ", -   , -   , -   ," 3,914.52 ",, -   , -   , -   ," 124,512.00 "," 22,412.16 "," 146,924.16 "
Prime,Panadura,31.00,BTS Operation,2005,Rate Card 02,JW-4703,Passenger Van," 180,166.67 "," 180,166.67 "," 2,196.00 ", 64.00 , -   ,, 72.17 , -   ," 5,745.92 ", -   ," 185,912.59 "," 33,464.27 "," 219,376.86 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 185,912.59 "," 33,464.27 "," 219,376.86 "
Prime,Polonnaruwa,31.00,BTS Operation,2007,Rate Card 02,PD-4310,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,113.00 ", 117.50 , -   , 613.00 , 80.17 ," 49,144.21 "," 10,881.68 ", -   ," 287,192.56 "," 51,694.66 "," 338,887.21 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 287,192.56 "," 51,694.66 "," 338,887.21 "
