Supplier,start date,Location,Working days (2),Division,Vehicle Number,Vehicel Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amout - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent Days ,Days (1),Days (2), Late Attendence-1 , Late Attendence-2 , Tempory hired vehicel charges , Fuel Pumped Amount , No pay rate=1 , No pay rate=2 , No pay Amount , Late Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,2025-02-01,Ambalangoda,28,BTS Operation,PD-1184,4 X 4 Double cab,"221,000.00","221,000.00","128,905.92","3,570.98",172.5, -   ,"1,070.98",71.3,"76,360.87","15,525.00", -   ,"312,885.87","56,319.46","369,205.33", -   , -   ,, -   , -   , -   ,"128,905.92","7,892.86","7,892.86", -   , -   ,"-128,905.92","-23,203.07","-152,108.99","183,979.95","33,116.39","217,096.35"
Prime,2025-02-01,Ampara,28,BTS Operation,PF-2252,24 hrs Passenger Van,"238,975.00","238,975.00", -   ,"4,680.00",,,"2,180.00",70.75,"154,235.00", -   , -   ,"393,210.00","70,777.80","463,987.80", -   , -   ,, -   , -   , -   , -   ,"8,534.82","8,534.82", -   , -   , -   , -   , -   ,"393,210.00","70,777.80","463,987.80"
Prime,2025-02-01,Ampara,28,Sites Acquisition,PB-1711,Van Field Use,"140,216.66","140,216.66", -   ,"3,516.00",36.5, -   ,"1,016.00",55.36,"56,245.76","3,285.00", -   ,"199,747.42","35,954.54","235,701.96", -   , -   ,, -   , -   , -   , -   ,"5,007.74","5,007.74", -   , -   , -   , -   , -   ,"199,747.42","35,954.54","235,701.96"
Prime,2025-02-01,Ampara,28,Power,PC-4191,Passenger Van,"194,875.00","194,875.00", -   ,"2,761.00",47, -   ,261,70.75,"18,465.75","4,230.00", -   ,"217,570.75","39,162.74","256,733.49", -   , -   ,, -   , -   , -   , -   ,"6,959.82","6,959.82", -   , -   , -   , -   , -   ,"217,570.75","39,162.74","256,733.49"
Prime,2025-02-01,A'pura,28,BTS Operation,PD-0518,24 hrs Passenger Van,"238,975.00","238,975.00","129,444.17","4,313.00",,,"1,813.00",70.75,"128,269.75", -   , -   ,"367,244.75","66,104.06","433,348.81", -   , -   ,, -   , -   , -   ,"129,444.17","8,534.82","8,534.82", -   , -   ,"-129,444.17","-23,299.95","-152,744.12","237,800.58","42,804.10","280,604.68"
Prime,2025-02-01,A'pura,28,Civil,CBC-2132,Van Field Use,"140,216.66","140,216.66","85,832.48","2,293.00",24.5, -   , -   ,55.36, -   ,"2,205.00", -   ,"142,421.66","25,635.90","168,057.56",2,2,, -   , -   , -   ,"85,832.48","5,007.74","5,007.74","10,015.48", -   ,"-95,847.96","-17,252.63","-113,100.59","46,573.70","8,383.27","54,956.97"
Prime,2025-02-01,A'pura,28,RND,KT-4604,Van Field Use,"140,216.66","140,216.66","84,002.89","2,184.00",42.5, -   , -   ,55.36, -   ,"3,825.00", -   ,"144,041.66","25,927.50","169,969.16", -   , -   ,, -   , -   , -   ,"84,002.89","5,007.74","5,007.74", -   , -   ,"-84,002.89","-15,120.52","-99,123.41","60,038.77","10,806.98","70,845.75"
Prime,2025-02-01,A'pura,28,Sites Acquisition,CBI-5082,Van Field Use,"140,216.66","140,216.66","55,959.59","2,564.00",19.5, -   ,64,55.36,"3,543.04","1,755.00", -   ,"145,514.70","26,192.65","171,707.35", -   , -   ,, -   , -   , -   ,"55,959.59","5,007.74","5,007.74", -   , -   ,"-55,959.59","-10,072.73","-66,032.32","89,555.11","16,119.92","105,675.03"
Prime,2025-02-01,A'pura,28,BTS Operation,PF-3301,4 X 4 Double cab,"221,000.00","221,000.00","94,002.77","2,693.53",64.5, -   ,193.53,71.3,"13,798.69","5,805.00", -   ,"240,603.69","43,308.66","283,912.35", -   , -   ,, -   , -   , -   ,"94,002.77","7,892.86","7,892.86", -   , -   ,"-94,002.77","-16,920.50","-110,923.27","146,600.92","26,388.17","172,989.08"
Prime,2025-02-01,A'pura,28,Power,PG-0415,Passenger Van,"194,875.00","194,875.00","77,353.50","3,358.00",116, -   ,858,70.75,"60,703.50","10,440.00", -   ,"266,018.50","47,883.33","313,901.83", -   , -   ,, -   , -   , -   ,"77,353.50","6,959.82","6,959.82", -   , -   ,"-77,353.50","-13,923.63","-91,277.13","188,665.00","33,959.70","222,624.70"
