Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage ,,, Excess milage Rate , Excess Amount - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT ,Days (1), Temper hired vehicle charges , Absent Penalty amount , Fuel Pumped Amount , No pay rate=1 , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,31.00,BTS Operation,PD-1184,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 128,742.90 "," 3,050.51 ", 146.50 , -   , 550.51 ," 2,500.00 ", 93.20 , 82.50 ," 45,417.075 "," 13,844.25 ", -   ," 292,261.33 "," 52,607.04 "," 344,868.36 ", 3.00 , -   ," 6,000.00 "," 128,742.90 "," 7,516.13 ",," (134,742.90)"," (24,253.72)"," (158,996.62)"," 157,518.42 "," 28,353.32 "," 185,871.74 "
Prime,Ampara,31.00,BTS Operation,PF-2252,24 hrs Passenger Van," 262,413.75 "," 262,413.75 ",," 4,410.00 ",,," 1,910.00 "," 2,500.00 ", 104.97 , 85.00 ," 162,350.000 ", -   , -   ," 424,763.75 "," 76,457.48 "," 501,221.23 ", -   , -   , -   , -   ," 8,464.96 ",, -   , -   , -   ," 424,763.75 "," 76,457.48 "," 501,221.23 "
Prime,Ampara,31.00,Sites Acquisition,GE-5882,Van Field Use," 129,745.00 "," 129,745.00 ",," 2,967.00 ", 23.00 , -   , 467.00 ," 2,500.00 ", 51.90 , 57.46 ," 26,833.820 "," 2,173.50 ", -   ," 158,752.32 "," 28,575.42 "," 187,327.74 ", 1.00 , -   ," 2,000.00 ", -   ," 4,185.32 ",," (2,000.00)", (360.00)," (2,360.00)"," 156,752.32 "," 28,215.42 "," 184,967.74 "
Prime,Ampara,31.00,Power,PC-4191,Passenger Van," 212,413.75 "," 212,413.75 ",," 2,803.00 ", 46.50 , -   , 303.00 ," 2,500.00 ", 84.97 , 78.00 ," 23,634.000 "," 4,394.25 ", -   ," 240,442.00 "," 43,279.56 "," 283,721.56 ", 1.00 , -   ," 2,000.00 ", -   ," 6,852.06 ",," (2,000.00)", (360.00)," (2,360.00)"," 238,442.00 "," 42,919.56 "," 281,361.56 "
Prime,A'pura,31.00,BTS Operation,PD-0518,24 hrs Passenger Van," 262,413.75 "," 262,413.75 "," 129,437.02 "," 3,702.00 ",,," 1,202.00 "," 2,500.00 ", 104.97 , 85.00 ," 102,170.000 ", -   , -   ," 364,583.75 "," 65,625.08 "," 430,208.83 ", -   , -   , -   ," 129,437.02 "," 8,464.96 ",," (129,437.02)"," (23,298.66)"," (152,735.69)"," 235,146.73 "," 42,326.41 "," 277,473.14 "
Prime,A'pura,31.00,Civil,CBC-2132,Passenger Car," 143,500.00 "," 143,500.00 "," 85,810.70 "," 2,388.00 ", 30.50 , -   ,," 2,388.00 ", 60.09 , 55.00 , -   ," 2,882.25 ", -   ," 146,382.25 "," 26,348.81 "," 172,731.06 ", -   , -   , -   ," 85,810.70 "," 4,629.03 ",," (85,810.70)"," (15,445.93)"," (101,256.63)"," 60,571.55 "," 10,902.88 "," 71,474.43 "
Prime,A'pura,31.00,RND,KT-4604,Van Field Use," 129,745.00 "," 129,745.00 "," 84,800.11 "," 3,956.00 ", 99.00 , -   ," 1,456.00 "," 2,500.00 ", 51.90 , 57.46 ," 83,661.760 "," 9,355.50 ", -   ," 222,762.26 "," 40,097.21 "," 262,859.47 ", -   , -   , -   ," 84,800.11 "," 4,185.32 ",," (84,800.11)"," (15,264.02)"," (100,064.12)"," 137,962.16 "," 24,833.19 "," 162,795.34 "
Prime,A'pura,31.00,Sites Acquisition,CBI-5082,Passenger Car," 143,500.00 "," 143,500.00 "," 65,046.05 "," 2,495.00 ", 19.00 , -   ,," 2,495.00 ", 57.52 , 55.00 , -   ," 1,795.50 ", -   ," 145,295.50 "," 26,153.19 "," 171,448.69 ", -   , -   , -   ," 65,046.05 "," 4,629.03 ",," (65,046.05)"," (11,708.29)"," (76,754.33)"," 80,249.46 "," 14,444.90 "," 94,694.36 "
Prime,A'pura,31.00,BTS Operation,PF-3301,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 78,999.78 "," 2,023.77 ", 29.00 , -   ,," 2,023.77 ", 115.13 , 82.50 , -   ," 2,740.50 ", -   ," 235,740.50 "," 42,433.29 "," 278,173.79 ", -   , -   , -   ," 78,999.78 "," 7,516.13 ",," (78,999.78)"," (14,219.96)"," (93,219.74)"," 156,740.72 "," 28,213.33 "," 184,954.05 "
Prime,A'pura,31.00,Power,PG-0415,Passenger Van," 212,413.75 "," 212,413.75 "," 78,766.79 "," 2,972.00 ", 91.00 , -   , 472.00 ," 2,500.00 ", 84.97 , 78.00 ," 36,816.000 "," 8,599.50 ", -   ," 257,829.25 "," 46,409.27 "," 304,238.52 ", -   , -   , -   ," 78,766.79 "," 6,852.06 ",," (78,766.79)"," (14,178.02)"," (92,944.81)"," 179,062.46 "," 32,231.24 "," 211,293.70 "
