Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,30.00,BTS Operation,PB-5378,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 3,670.00 ", 152.50 , -   ," 1,170.00 ", 81.17 ," 94,968.90 "," 14,411.25 ", -   ," 339,046.82 "," 61,028.43 "," 400,075.25 ", -   , -   , -   ," 7,655.56 ",, -   , -   , -   ," 339,046.82 "," 61,028.43 "," 400,075.25 "
Prime,Ampara,30.00,BTS Operation,PF-2252,24 hrs Passenger Van," 259,080.42 "," 259,080.42 "," 4,450.00 ", -   , -   ," 1,950.00 ", 83.67 ," 163,156.50 ", -   , -   ," 422,236.92 "," 76,002.65 "," 498,239.57 ", -   , -   , -   ," 8,636.01 ",, -   , -   , -   ," 422,236.92 "," 76,002.65 "," 498,239.57 "
Prime,Ampara,30.00,Power,PC-4191,Passenger Van," 209,080.42 "," 209,080.42 "," 3,124.00 ", 44.50 , -   , 624.00 , 76.67 ," 47,842.08 "," 4,205.25 ", -   ," 261,127.75 "," 47,003.00 "," 308,130.75 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 261,127.75 "," 47,003.00 "," 308,130.75 "
Prime,Ampara,29.00,Sites Acquisition,CAU-6726,Passenger Car," 139,500.00 "," 134,850.00 "," 3,674.00 ", 80.50 , 2.00 ," 1,174.00 ", 53.40 ," 62,691.60 "," 7,607.25 "," 1,050.00 "," 206,198.85 "," 37,115.79 "," 243,314.64 ", 1.00 , -   ," 2,000.00 "," 4,650.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 204,198.85 "," 36,755.79 "," 240,954.64 "
Prime,A'pura,30.00,BTS Operation,PD-0518,24 hrs Passenger Van," 259,080.42 "," 259,080.42 "," 3,700.00 ", -   , -   ," 1,200.00 ", 83.67 ," 100,404.00 ", -   , -   ," 359,484.42 "," 64,707.20 "," 424,191.62 ", -   , -   , -   ," 8,636.01 ",, -   , -   , -   ," 359,484.42 "," 64,707.20 "," 424,191.62 "
Prime,A'pura,28.00,Civil,CBC-2132,Passenger Car," 139,500.00 "," 130,200.00 "," 2,508.00 ", 42.50 , -   , 8.00 , 53.40 , 427.20 ," 4,016.25 ", -   ," 134,643.45 "," 24,235.82 "," 158,879.27 ", 2.00 , -   ," 4,000.00 "," 4,650.00 ",," (4,000.00)", (720.00)," (4,720.00)"," 130,643.45 "," 23,515.82 "," 154,159.27 "
Prime,A'pura,30.00,Projects,CBJ-5825,Passenger Car," 139,500.00 "," 139,500.00 "," 2,751.00 ", 103.50 , -   , 251.00 , 53.40 ," 13,403.40 "," 9,780.75 ", -   ," 162,684.15 "," 29,283.15 "," 191,967.30 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 162,684.15 "," 29,283.15 "," 191,967.30 "
Prime,A'pura,30.00,RND,KT-4604,Van Field Use," 125,300.56 "," 125,300.56 "," 4,145.00 ", 155.50 , 2.00 ," 1,645.00 ", 55.68 ," 91,593.60 "," 14,694.75 "," 1,050.00 "," 232,638.91 "," 41,875.00 "," 274,513.91 ", -   , -   , -   ," 4,176.69 ",, -   , -   , -   ," 232,638.91 "," 41,875.00 "," 274,513.91 "
Prime,A'pura,7.00,RND,CAW-9221,Van Field Use," 100,842.57 "," 23,529.93 ", 908.00 , 32.50 , -   , -   , 55.68 , -   ," 3,071.25 ", -   ," 26,601.18 "," 4,788.21 "," 31,389.40 ", -   , -   , -   ," 3,361.42 ",, -   , -   , -   ," 26,601.18 "," 4,788.21 "," 31,389.40 "
Prime,A'pura,30.00,Sites Acquisition,CBI-5082,Passenger Car," 139,500.00 "," 139,500.00 "," 2,824.00 ", 54.00 , -   , 324.00 , 53.40 ," 17,301.60 "," 5,103.00 ", -   ," 161,904.60 "," 29,142.83 "," 191,047.43 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 161,904.60 "," 29,142.83 "," 191,047.43 "
