Vehicle Number,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BFD-2154,5894.044068,7609.779661,7855.932203,5827.966102,5959.322034,7332.449153,7754.237288,7627.584746,7349.572034,7600.427966,7474.576271,5436.508475
BFD-2166,6158.527119,6284.745763,3406.332203,3301.162712,5960.315254,6124.69322,2973.233051,7133.381356,6489.313559,3121.255932,6116.944068,6688.749153
BFD-2177,7509.747458,3618.966102,7347.915254,3282.665254,3445.233051,6747.938983,3248.766949,,3298.628814,3547.457627,,5658.752542
BFD-2190,7855.932203,7855.932203,7855.932203,7601.694915,7449.152542,7449.152542,7754.237288,7754.237288,7601.694915,7601.694915,7792.372881,7474.576271
BFD-2194,12883.72881,10571.4661,7261.5,9867.760169,10469.7839,9841.572034,10636.22881,6600.923729,9632.867797,9591.565254,10369.72881,12453.88983
BFD-2258,7332.20339,8276.271186,7855.932203,6334.745763,6496.610169,6207.627119,7754.237288,6461.864407,5067.79661,5574.576271,4983.050847,4983.050847
BFD-2274,7855.932203,7855.932203,7855.932203,7601.694915,7449.152542,7449.152542,7754.237288,7754.237288,7601.694915,7601.694915,7474.576271,7474.576271
BFD-2292,7659.533898,7861.169492,7241.336441,8876.245763,9328.325424,7063.534746,7412.016949,7661.186441,7444.59322,6957.324576,7205.491525,10692.38136
BFD-2302,6808.474576,10474.57627,10212.71186,12669.49153,10428.81356,12415.25424,12923.72881,12923.72881,12669.49153,12669.49153,9218.644068,9467.79661
BFD-2320,7855.932203,7832.888136,7855.932203,7592.319492,3724.576271,7332.449153,7503,1292.372881,10878.78559,9596.379661,11038.45424,10645.29153
BHI-8224,2618.644068,5660.461017,7855.932203,7601.694915,7449.152542,7449.152542,7754.237288,7754.237288,7601.694915,7601.694915,7474.576271,7474.576271
HI-9353,18141.61017,137958.6441,96526.92929,56957.62712,53007.15763,34367.49492,44096.50169,50128.02966,64581.31949,126525.8542,75117.00085,54188.00847
HI-9355,94283.05085,26358.40508,99857.62712,94137.62712,90791.52542,92416.94915,49144.91525,80128.38729,96412.5839,89806.71695,67496.44915,77154.33051
KY-7354,19554.72458,27768.10169,37225.59576,13264.45085,30524.88898,23297.72119,25772.75932,20962.02966,22535.98475,17423.33814,33617.15678,22922.78136
KY-7361,27184.40593,8369.186441,41794.60678,43867.10085,46404.42712,56154.07076,41141.13983,41261.84746,32945.23898,28399.42542,15689.38475,8562.874576
LN-3659,80300.55932,47666.26271,76535.78136,17512.1678,43050.97288,105693.4085,79629.05169,83274.61441,73928.47373,85929.39153,47647.28644,94494.32373
NA-9344,72075.87797,110787.1898,170871.1847,92777.9161,87479.60932,85304.32712,91472.17373,119517.9102,96591.01695,117205.0381,83866.91441,108457.7068
NA-9345,106593.8966,119773.8633,121954.0331,108406.6025,100350.6424,90640.2542,131574.6356,125831.5805,92480.32288,149981.5945,114790.6169,75197.2839
NA-9346,75536.96356,92498.70169,133605.8695,111731.7169,117752.661,149974.5975,122492.8949,110641.9356,104326.5102,90354.8178,43045.56525,79633.50932
NA-9347,103884.4093,129400.9407,80943.57458,153178.3636,138816.4566,129370.0288,111672.2941,104296.1814,62283.50339,78003.43475,53955.84407,
