Vehicle Number,Location,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec
HI-9353,Nittabuwa,74.85,490,376.12,235,228.28,148.01,180.05,204.68,269.28,538.99,319.99,230.84
HI-9355,Rathnapura,389,107.21,412,388.4,391,398,199,325.67,402,378.24,287.53,324.86
KY-7354,Pool, -   , -   ,27.04,52.35,122.93,93.83,99.71,81.1,88.94,68.76,134.93,92
KY-7361,Pool, -   , -   , -   ,173.12,183.02,222.34,159.17,159.64,130.02,112.08,62.97,34.37
LN-3659,Pool,331.31,196.67,307.68,72.25,185.4,455.18,325.13,340.01,308.25,366.05,202.97,402.54
NA-9344,Pool,297.38,457.09,693.83,372.71,365.76,367.37,373.49,488,402.75,492.45,357.27,462.02
NA-9345,Pool,439.79,481.99,495.97,441.87,432.17,343.01,515.31,474.18,376.61,614.88,484.47,320.34
NA-9346,Pool,311.66,381.64,551.24,453.25,507.11,639.49,500.14,451.76,435,384.91,183.37,339.23
NA-9347,Pool,428.61,533.89,333.96,629.72,580.68,557.14,455.96,425.85,259.7,325.27,229.85, -   
NB-6152,Pool,36.68,250.69,298.93,108.97,89.76,309.46,175.34,90.73,134.45,171.19,270.64,40.57
NB-6153,Pool,375.84,360.6,487.76,265.15,496.16,512.69,498.67,422.89,385.62,518.22,451.29,408.53
ND-1022,Pool,448.08,396.7,573.32,377.47,228.41,438.31,332.74,528.35,469.25,456.7,359.69,280.53
ND-1023,Pool,495.68,208.1,516.55,330.9,481.67,295.84,531.61,556.78,381.03,375.03,306.55,291.89
ND-1024,Pool,355.8,493.48,454.61,536.88,532.46,505.72,392.77,478.98,487.52,357.24,439.75,486.41
ND-1026,Pool,344.98,256.17,254.67,412.38,266.06,340.17,387.46,284.35,343.13,180.86,273.17,191.71
ND-1090,Pool,208.23,132.67,195.62,91.62,252.62,292.09,362.81,338.67,265.35,317.75,162.09,181.9
ND-1289,Pool,337.07,353.45,434.6,524.79,540.14,400.63,470.71,483.34,453.98,521.77,156.96,138.03
ND-1290,Pool, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,55.6
ND-1618,Pool,328.96,400.3,405.68,557.14,484.98,251.63,583.37,534.27,441.58,393.54,445.17,530.89
PD-9893,Rathnapura, -   , -   , -   ,476.11,603,663.49,599.2,629.84,624.01,626,557,599.07
PD-9894,Galle,548,484.44,619.52,275,499.99,355.51,492,426.03,429.01,408,197.73,600
PD-9895,Badulla,599.95,500,534,412.36,491.21,492,442.47,528,485.14,630,530,566
PD-9896,Galle,254.09,445.61,520,407.1,481,527.83,312.44,54.7,325.02,328.69,361,157
PD-9899,Thanamalwila,360,190.87,386.16,621.32,417, -   ,435.65,485,449,596,657.6,824
PD-9901,Kandy,670,599.01,499.73,590,620,637,674,550,698.8,745.63,481.89,586.94
PD-9902,Rathnapura,449.93,429.98,440.14,379.66,440.42,448.31,449.02,449.42,449.86,449.14,449.38,559.42
PD-9903,Matara,341.02,327.83,403,322,329,282.01,261,329, -   ,233.43,177.8,321.43
PD-9904,Polonnaruwa,428,549.07,496.03,414.01,471.68,160,638.54,499.03,552.15,670,565,692.27
PF-4362,Chilaw,434,358,502.27,456.2,433.8,375.3,365,467.8,331.3,500,360.3,800
PF-4363,Homagama,711.24,775,883,600,600,649.57,772.74,769.89,731,435.46,250.21,188.07
PF-4364,Yatiyanthota,255.69,231.27,313.12,254.64,254.09,247.86,299.57,306.49,244.93,560.04,558.83,562.37
PF-5697,Panadura,322.2,328.27,289.86,333.66,407.37,316.53,333.56,66.87, -   ,67.15,312.24,238.45
PF-5698,Anuradhapura,540.08,339.07,309.82,386.04,403.76,356.93,504.42,430.19,432.67,438.92,387.03,480.44
PF-5699,Matara/Hakmana,368.38,235,512,540,489,437,436.03,415,470,474,588,592
PF-5700,Pool,292.43,258.55,177.07,135.18,274.31,424.07,549.74,347.43,308.82,339.52,357.02,408.61
